Epoch,SupportLoss,QueryLoss,Val_mAP
0,2.8220152854919434,0.8931533336639405,0.0012660661013796926
1,2.984082889556885,1.0620941042900085,0.0007355021080002189
2,3.5037408828735352,0.8121745824813843,0.0
3,3.2571366310119627,0.6261736810207367,0.01252590399235487
4,2.9516343116760253,0.692985326051712,0.0004357954894658178
5,3.1509894847869875,0.5290284812450409,0.02214607037603855
6,2.3224696636199953,0.7820633888244629,0.02756275050342083
7,2.9082609176635743,0.7237384438514709,0.06393808126449585
8,2.3619791746139525,0.6939030766487122,0.03730093315243721
9,1.9945284366607665,0.5662501096725464,0.12147296965122223
10,2.005787754058838,0.6085593342781067,0.09825342148542404
11,1.6159955501556396,0.6171566188335419,0.13898393511772156
12,1.4997408866882325,0.550199156999588,0.10990458726882935
13,1.0925436615943909,0.521950614452362,0.151267871260643
14,0.9031259655952454,0.622451913356781,0.1718134731054306
15,1.1455742359161376,0.533410108089447,0.12742392718791962
16,0.952103066444397,0.6345470488071442,0.20188705623149872
17,0.879427433013916,0.6091747641563415,0.16343672573566437
18,0.8921907663345336,0.8217636287212372,0.1740286648273468
19,0.8555434465408325,0.5523423075675964,0.2328600287437439
20,0.6254281759262085,0.5795233368873596,0.14728808403015137
21,0.7885548591613769,0.6928914189338684,0.20542345941066742
22,0.7613613367080688,0.7629833042621612,0.22875402867794037
23,0.5445926129817963,0.5898047029972077,0.15369285643100739
24,0.561372059583664,0.42381847500801084,0.27623480558395386
25,0.5643413960933685,0.5631240844726563,0.22899173200130463
26,0.6492171108722686,0.7729220867156983,0.27170076966285706
27,0.5267332553863525,0.4245094954967499,0.26191624999046326
28,0.601766949892044,0.5679951548576355,0.2509821951389313
29,0.5267686426639557,0.42171837091445924,0.3390727639198303
30,0.6534166812896729,0.532166737318039,0.28808358311653137
31,0.578726613521576,0.44785149693489074,0.24769335985183716
32,0.49419174492359164,0.44927858412265775,0.2982824742794037
33,0.6469773173332214,0.6033696830272675,0.25044387578964233
34,0.5043095529079438,0.38662550449371336,0.30777397751808167
