Epoch,Batch,TrainLoss,Val_mAP
0,0,3.395921230316162,
0,1,1.820212483406067,
0,2,0.8383758068084717,
0,3,0.6756545305252075,
0,4,0.6938037872314453,
0,,1.4847935676574706,0.0002523781731724739,0.0
1,0,0.6224470734596252,
1,1,0.8836284279823303,
1,2,0.5838099718093872,
1,3,0.49460530281066895,
1,4,3.343984365463257,
1,,1.1856950283050538,0.0,0.0
2,0,0.7804644107818604,
2,1,0.26412948966026306,
2,2,1.679773211479187,
2,3,0.8822412490844727,
2,4,0.4399867355823517,
2,,0.809319019317627,0.007307873573154211,0.006285150069743395
3,0,0.741598904132843,
3,1,0.5025999546051025,
3,2,0.38674432039260864,
3,3,0.36037734150886536,
3,4,1.0357335805892944,
3,,0.6054108202457428,0.1078614741563797,0.00333604053594172
4,0,0.33492088317871094,
4,1,1.0097908973693848,
4,2,0.33367422223091125,
4,3,0.3840068280696869,
4,4,0.4507463872432709,
4,,0.502627843618393,0.0989975854754448,0.002522537484765053
5,0,0.3461793065071106,
5,1,0.3117329180240631,
5,2,0.23153167963027954,
5,3,0.9490900635719299,
5,4,0.4556298851966858,
5,,0.4588327705860138,0.13914607465267181,0.0016992612509056926
6,0,0.20352226495742798,
6,1,0.8504581451416016,
6,2,0.5004039406776428,
6,3,0.19376282393932343,
6,4,0.28521794080734253,
6,,0.4066730231046677,0.18568752706050873,0.003031416330486536
7,0,0.2052696943283081,
7,1,0.7672714591026306,
7,2,0.33567866683006287,
7,3,0.25474268198013306,
7,4,0.28312891721725464,
7,,0.3692182838916779,0.2088051736354828,0.003741489490494132
8,0,0.26724717020988464,
8,1,0.6574088335037231,
8,2,0.18672500550746918,
8,3,0.264227956533432,
8,4,0.301933616399765,
8,,0.3355085164308548,0.48455724120140076,0.0026173668447881937
9,0,0.31589117646217346,
9,1,0.5351265668869019,
9,2,0.24058888852596283,
9,3,0.20072035491466522,
9,4,0.32819515466690063,
9,,0.3241044282913208,0.48673251271247864,0.003011568682268262
10,0,0.5043172240257263,
10,1,0.14799171686172485,
10,2,0.2706279158592224,
10,3,0.19168198108673096,
10,4,0.29425501823425293,
10,,0.2817747712135315,0.4785030782222748,0.0031316219829022884
11,0,0.19415190815925598,
11,1,0.2927630841732025,
11,2,0.5170056819915771,
11,3,0.23839807510375977,
11,4,0.19259712100028992,
11,,0.2869831740856171,0.47971752285957336,0.00305907242000103
12,0,0.44433337450027466,
12,1,0.18421246111392975,
12,2,0.19427677989006042,
12,3,0.1899702101945877,
12,4,0.24621206521987915,
12,,0.25180097818374636,0.449550062417984,0.0026182085275650024
13,0,0.4778786301612854,
13,1,0.23426957428455353,
13,2,0.23355749249458313,
13,3,0.1719885617494583,
13,4,0.11485431343317032,
13,,0.24650971442461014,0.43758484721183777,0.001817859592847526
14,0,0.19676600396633148,
14,1,0.2101903259754181,
14,2,0.41751205921173096,
14,3,0.14397290349006653,
14,4,0.20456020534038544,
14,,0.2346002995967865,0.44388073682785034,0.001764074433594942
15,0,0.23712344467639923,
15,1,0.08923154324293137,
15,2,0.10728827863931656,
15,3,0.4711434841156006,
15,4,0.24129006266593933,
15,,0.2292153626680374,0.4445909261703491,0.0012337538646534085
16,0,0.12911319732666016,
16,1,0.43621885776519775,
16,2,0.09305421262979507,
16,3,0.16438592970371246,
16,4,0.32162994146347046,
16,,0.22888042777776718,0.46166542172431946,0.0006170165725052357
17,0,0.14724469184875488,
17,1,0.16962763667106628,
17,2,0.5224989056587219,
17,3,0.16304875910282135,
17,4,0.07450628280639648,
17,,0.2153852552175522,0.495708167552948,0.0003419519925955683
18,0,0.11121460050344467,
18,1,0.09841442853212357,
18,2,0.48196420073509216,
18,3,0.1461392343044281,
18,4,0.14918220043182373,
18,,0.19738293290138245,0.5024544596672058,0.0005956519162282348
19,0,0.10788582265377045,
19,1,0.10533449053764343,
19,2,0.10763338208198547,
19,3,0.2195100337266922,
19,4,0.3598618507385254,
19,,0.18004511594772338,0.4985710680484772,0.0001699179847491905
20,0,0.35796910524368286,
20,1,0.17970073223114014,
20,2,0.08379481732845306,
20,3,0.14003007113933563,
20,4,0.18479132652282715,
20,,0.18925721049308777,0.5104050636291504,0.0002623768523335457
21,0,0.17607960104942322,
21,1,0.060449112206697464,
21,2,0.19712960720062256,
21,3,0.08341650664806366,
21,4,0.3214261531829834,
21,,0.16770019605755807,0.5088914632797241,0.0004556289059109986
22,0,0.107905812561512,
22,1,0.3151904046535492,
22,2,0.06376797705888748,
22,3,0.17736835777759552,
22,4,0.11244388669729233,
22,,0.1553352877497673,0.5849747061729431,0.00047846310189925134
23,0,0.0776766762137413,
23,1,0.1572747379541397,
23,2,0.1550552248954773,
23,3,0.3578447699546814,
23,4,0.0631246566772461,
23,,0.16219521313905716,0.5536739826202393,0.0006244721007533371
24,0,0.3467080891132355,
24,1,0.08749198913574219,
24,2,0.15248171985149384,
24,3,0.1394639015197754,
24,4,0.05824054032564163,
24,,0.1568772479891777,0.5551289319992065,0.0002337908372282982
25,0,0.10110432654619217,
25,1,0.311251699924469,
25,2,0.11757935583591461,
25,3,0.0659053847193718,
25,4,0.10124121606349945,
25,,0.1394163966178894,0.6343987584114075,0.0003340552211739123
26,0,0.08006076514720917,
26,1,0.344358891248703,
26,2,0.13351476192474365,
26,3,0.06376361101865768,
26,4,0.06261170655488968,
26,,0.13686194717884065,0.627431333065033,0.00022542581427842379
27,0,0.1148267313838005,
27,1,0.09832893311977386,
27,2,0.3244812488555908,
27,3,0.09015113115310669,
27,4,0.09961536526679993,
27,,0.14548068195581437,0.6038605570793152,0.0003697307547554374
28,0,0.07559891045093536,
28,1,0.06495417654514313,
28,2,0.34342044591903687,
28,3,0.047619372606277466,
28,4,0.12029489129781723,
28,,0.13037755936384202,0.6336151957511902,0.0004404205537866801
29,0,0.2716078460216522,
29,1,0.0496029257774353,
29,2,0.06969023495912552,
29,3,0.12105715274810791,
29,4,0.09804214537143707,
29,,0.1220000609755516,0.6721742749214172,0.00034135417081415653
30,0,0.11201035231351852,
30,1,0.042232975363731384,
30,2,0.05793389678001404,
30,3,0.08494314551353455,
30,4,0.30143415927886963,
30,,0.11971090584993363,0.6660180687904358,0.00040663484833203256
31,0,0.12311004847288132,
31,1,0.042953815311193466,
31,2,0.31045594811439514,
31,3,0.07104458659887314,
31,4,0.0844310000538826,
31,,0.12639907971024514,0.7006149888038635,0.0001175459983642213
32,0,0.051911868155002594,
32,1,0.06687740981578827,
32,2,0.10426972061395645,
32,3,0.06938296556472778,
32,4,0.2523740828037262,
32,,0.10896320939064026,0.6782779693603516,0.00011763232760131359
33,0,0.06432784348726273,
33,1,0.2469349354505539,
33,2,0.0406736396253109,
33,3,0.07228834927082062,
33,4,0.08884994685649872,
33,,0.10261494293808937,0.7377299666404724,5.232230614637956e-05
34,0,0.13048109412193298,
34,1,0.042844414710998535,
34,2,0.042221635580062866,
34,3,0.2805291414260864,
34,4,0.05962369218468666,
34,,0.11113999560475349,0.7069705724716187,9.534286800771952e-05
35,0,0.11886900663375854,
35,1,0.037817925214767456,
35,2,0.06834354996681213,
35,3,0.04619716852903366,
35,4,0.3571242392063141,
35,,0.1256703779101372,0.6999238729476929,0.00015322961553465575
36,0,0.08044378459453583,
36,1,0.06128706783056259,
36,2,0.2861745059490204,
36,3,0.03940067067742348,
36,4,0.12591268122196198,
36,,0.11864374205470085,0.7429952621459961,0.00044899838394485414
37,0,0.09326568245887756,
37,1,0.06923996657133102,
37,2,0.26323238015174866,
37,3,0.03273322433233261,
37,4,0.1024140864610672,
37,,0.1121770679950714,0.7370481491088867,0.00029175597592256963
38,0,0.09195967763662338,
38,1,0.25689566135406494,
38,2,0.06679122895002365,
38,3,0.05707680061459541,
38,4,0.10056298226118088,
38,,0.11465727016329766,0.744303286075592,0.00021142206969670951
39,0,0.09057029336690903,
39,1,0.25891271233558655,
39,2,0.05305768549442291,
39,3,0.06401883065700531,
39,4,0.1549452245235443,
39,,0.12430094927549362,0.741496741771698,0.0002569188072811812
40,0,0.05895267054438591,
40,1,0.032407768070697784,
40,2,0.1508975476026535,
